Time stamp,Reward,Error,Kp,Tn,Tv,setpoint,learning_rate,num_policy,num_reward,Status
0,0.0,40.0,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
1,0.0,40.06495721172885,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
2,-40.06495721172885,40.253529284010334,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
3,-40.253529284010334,40.55673130719383,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
4,-40.55673130719383,40.966165565349606,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
5,-40.966165565349606,41.47398362637106,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
6,-41.47398362637106,42.07285087593004,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
7,-42.07285087593004,42.755913337771695,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
8,-42.755913337771695,43.516766632987625,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
9,-43.516766632987625,44.349426940403276,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
10,-44.349426940403276,45.248303829101665,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
11,-45.248303829101665,46.20817484241773,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
12,-46.20817484241773,47.22416172051515,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
13,-47.22416172051515,48.29170815593297,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
14,-48.29170815593297,49.40655898329656,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
15,-49.40655898329656,50.5647407107552,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
16,-50.5647407107552,51.762543306666856,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
17,-51.762543306666856,52.99650316062386,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
18,-52.99650316062386,54.263387143128305,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
19,-54.263387143128305,55.56017769310401,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
20,-55.56017769310401,56.884058866996014,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
21,-56.884058866996014,58.23240328747855,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
22,-58.23240328747855,59.60275993378692,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
23,-59.60275993378692,60.99284271942608,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
24,-60.99284271942608,62.40051980650493,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
25,-62.40051980650493,63.82380360921621,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
26,-63.82380360921621,65.26084144204256,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
27,-65.26084144204256,66.70990677113146,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
28,-66.70990677113146,68.16939102996089,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
29,-68.16939102996089,69.63779596292306,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
30,-69.63779596292306,71.11372646279759,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
31,-71.11372646279759,72.5958838702793,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
32,-72.5958838702793,74.08305970577709,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
33,-74.08305970577709,75.57412980562029,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
34,-75.57412980562029,77.0680488366044,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
35,-77.0680488366044,78.56384516448895,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
36,-78.56384516448895,80.06061605363112,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
37,-80.06061605363112,81.55752317641006,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
38,-81.55752317641006,83.0537884124723,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
39,-83.0537884124723,84.54868991911572,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
40,-84.54868991911572,86.04155845533383,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
41,-86.04155845533383,87.53177394316822,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
42,-87.53177394316822,89.01876225107165,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
43,-89.01876225107165,90.50199218496974,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
44,-90.50199218496974,91.98097267363163,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
45,-91.98097267363163,93.45525013582335,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
46,-93.45525013582335,94.92440601752467,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
47,-94.92440601752467,96.38805448824574,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
48,-96.38805448824574,97.84584028618619,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
49,-97.84584028618619,99.29743670264105,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
50,-99.29743670264105,100.74254369667563,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
51,-100.74254369667563,102.18088613167052,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
52,-102.18088613167052,103.61221212587957,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
53,-103.61221212587957,105.03629150964903,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
54,-105.03629150964903,106.4529143824214,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
55,-106.4529143824214,107.86188976308915,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
56,-107.86188976308915,109.26304432767992,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
57,-109.26304432767992,110.65622122874082,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
58,-110.65622122874082,112.0412789911546,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
59,-112.0412789911546,113.41809047945772,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
60,-113.41809047945772,114.78654193205034,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
61,-114.78654193205034,116.14653205798344,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
62,-116.14653205798344,117.49797119228779,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
63,-117.49797119228779,118.84078050606894,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
64,-118.84078050606894,120.17489126783566,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
65,-120.17489126783566,121.50024415275755,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
66,-121.50024415275755,122.81678859675998,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
67,-122.81678859675998,124.12448219256399,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
68,-124.12448219256399,125.42329012496519,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
69,-125.42329012496519,126.7131846428206,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
70,-126.7131846428206,127.99414456537416,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
71,-127.99414456537416,129.26615482070645,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
72,-129.26615482070645,130.52920601423494,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
73,-130.52920601423494,131.78329402532557,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
74,-131.78329402532557,133.02841963020188,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
75,-133.02841963020188,134.2645881494542,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
76,-134.2645881494542,135.49180911856092,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
77,-135.49180911856092,136.7100959799365,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
78,-136.7100959799365,137.91946579511642,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
79,-137.91946579511642,139.11993897577892,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
80,-139.11993897577892,140.31153903238723,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
81,-140.31153903238723,141.49429233931414,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
